input_text,target_text
English: tryst | German: Trost | Dutch: troost | Swedish: tröst,*trēast
German: zwagen | Dutch: dwaan | Swedish: två,þwēan
English: breed | German: brüten | Dutch: broeden,brēdan
English: tap | German: Zapfen | Dutch: tap | Swedish: tapp,tæppa
English: shrink | Dutch: schrinken,sċrincan
German: vernehmen | Dutch: vernemen,forniman
English: malt | German: Malz | Dutch: mout | Swedish: malt,mealt
German: Siegfried | Swedish: Sigfrid,Sigefriþ
English: unseel | Swedish: usel,unsǣle
English: bank | Swedish: backe,*banca
English: hem | German: hemmen | Swedish: hämma,*hemman
English: oft | German: oft | Dutch: oft | Swedish: ofta,oft
English: loath | German: leid | Dutch: leed | Swedish: led,lāþ
German: weiten | Dutch: wijden,*wīdan
English: fiendship | German: Feindschaft,fīondsċipe
English: hend | Dutch: henden | Swedish: hända,*hendan
English: offhand | German: abhanden | Dutch: afhandig | Swedish: avhända,ofhende
English: flax | German: Flachs | Dutch: vlas,fleax
English: ing | Dutch: eng | Swedish: äng,*eng
English: dare | German: thüren | Dutch: durven,durran
English: galp | German: galpen | Dutch: galpen | Swedish: galpa,*galpian
English: fiddle | German: Fiedel | Dutch: vedel | Swedish: fidla,*fiþele
English: low | German: läg | Dutch: laag | Swedish: låg,*lǣġe
English: laugh | German: lachen | Dutch: lachen | Swedish: le,hliehhan
English: lesk | Dutch: lies | Swedish: ljumske,lēosċa
German: leiden | Dutch: lijden | Swedish: lida,līþan
English: great | German: groß | Dutch: groot,grēat
English: speight | German: Specht | Dutch: specht | Swedish: spett,*spiht
German: gesehen | Dutch: gezien,ġesēon
English: be | German: bin | Dutch: ben,bēon
English: wart | German: Warze | Dutch: wrat | Swedish: vårta,wearte
English: unbind | German: entbinden | Dutch: ontbinden,onbindan
English: whet | German: wetzen | Dutch: wetten | Swedish: vättja,hwettan
English: dust | German: Dunst | Dutch: dons | Swedish: dunst,dūst
English: geneat | German: Genoß | Dutch: genoot,ġenēat
English: bourne | German: Born | Dutch: bron | Swedish: brunn,burna
English: any | German: einig | Dutch: enig | Swedish: enig,*āneġ
English: brot | German: Bross | Swedish: brott,*brot
English: thick | German: dick | Dutch: dik | Swedish: tjock,þicce
English: bold | German: bald | Dutch: boud | Swedish: båld,beald
German: Löwe | Dutch: leeuw,lēo
English: abear | German: erbären,āberan
German: erben | Dutch: erven | Swedish: ärva,ierfan
English: bloody | German: blutig | Dutch: bloedig | Swedish: blodig,blōdiġ
English: hight | German: heißen | Dutch: heten | Swedish: heta,hātan
English: anchor | German: Anker | Dutch: anker | Swedish: ankare,ancor
English: bean | German: Bohne | Dutch: boon | Swedish: böna,bēan
English: lie | German: lügen | Dutch: liegen | Swedish: ljuga,lēogan
English: douth | German: Tugend | Dutch: deugd | Swedish: dygd,duguþ
English: step | German: stepfen | Dutch: stappen,stæppan
English: ken | German: kennen | Dutch: kennen | Swedish: känna,cennan
English: earnest | German: Ernst | Dutch: ernst,eornust
English: hue | Swedish: hy,hīew
German: schwinden | Dutch: zwinden | Swedish: svinna,swindan
English: streak | German: Strich | Dutch: streek | Swedish: streck,strica
English: murth | German: Mord | Dutch: moord | Swedish: mord,morþ
English: ween | German: Wahn | Dutch: waan | Swedish: vån,wēn
English: ripe | German: reif | Dutch: rijp,rīpe
English: hop | German: hoppen | Dutch: hoppen | Swedish: hoppa,hoppian
English: fourth | German: vierte | Dutch: vierde | Swedish: fjärde,fēorþa
English: dear | German: teuer | Dutch: dier | Swedish: dyr,dīere
English: heighth | Dutch: hoogte | Swedish: höjd,hīehþu
English: doek | German: Tuch | Dutch: doek | Swedish: duk,dōc
English: lock | German: lauchen | Dutch: luiken | Swedish: lucka,lūcan
German: Schwäher | Dutch: zweer | Swedish: svär-,swēor
English: fright | German: fürchten | Dutch: vruchten,fyrhtan
English: tinder | German: Zunder | Dutch: tonder | Swedish: tunder,tyndre
English: haversack | German: Hafer | Dutch: haver | Swedish: havre,*hæfera
English: nap | German: Napf | Dutch: nap | Swedish: napp,hnæpp
English: chine | German: keimen,ċīnan
German: eisern | Dutch: ijzeren,īsern
English: night | German: Nacht | Dutch: nacht | Swedish: natt,niht
English: reach | German: reichen | Dutch: reiken,rǣċan
German: deuten | Dutch: duiden | Swedish: tyda,þīedan
English: gammon | German: Gammel | Dutch: gemelijk | Swedish: gamman,gamen
English: spark | German: Sparke | Dutch: spark,spearca
English: farthing | German: Vierdung | Dutch: vierding,fēorþung
English: mid | German: Mitte | Dutch: mid- | Swedish: mid-,midd
English: thrall | Dutch: drel | Swedish: träl,þrǣl
